Rank,Car,2019,2018,2017,2016,2015,2014
1,  Toyota Corolla,"4,098","3,944","4,666","7,132","5,675","4,391"
2,  Nissan Qashqai,"3,520","3,815","4,582","5,298","4,348","3,813"
3,  Hyundai Tucson,"3,504","3,786","3,968","4,969","3,952","3,589"
4,  Volkswagen Golf,"3,064","3,746","3,937","4,505","3,702","3,020"
5,  Skoda Octavia,"3,058","3,205","3,807","4,383","3,464","2,848"
6,  Volkswagen Tiguan,"3,024","2,760","3,138","3,752","3,413","2,697"
7,  Hyundai Kona,"2,903","2,745","2,934","3,631","3,297","2,477"
8,  Ford Focus,"2,730","2,695","2,826","3,581","3,294","2,111"
9,  Toyota Yaris,"2,459","2,638","2,652","3,486","2,727","1,969"
10,  Toyota C-HR,"2,414","2,454","2,385","2,794","2,490","1,938"
11,  Ford Fiesta,"2,392","2,221","2,223","2,763","2,396","1,845"
12,  Nissan Micra,"2,390","2,152","2,187","2,640","2,396","1,844"
13,  Kia Sportage,"2,266","2,048","2,085","2,429","2,149","1,744"
14,  Volkswagen Polo,"2,263","2,035","2,028","2,256","2,145","1,713"
15,  Peugeot 3008,"2,036","1,893","2,003","2,171","1,880","1,712"
16,  Ford Kuga,"1,947","1,885","1,829","2,088","1,863","1,488"
17,  Volkswagen Passat,"1,799","1,835","1,762","2,072","1,790","1,481"
18,  Renault Clio,"1,784","1,798","1,749","2,039","1,746","1,319"
19,  Skoda Kodiaq,"1,775","1,763","1,680","1,942","1,712","1,298"
20,  Dacia Duster,"1,768","1,626","1,658","1,930","1,704","1,276"
21,  Renault Captur,"1,662","1,623","1,636","1,908","1,703","1,253"
22,  Toyota Rav4,"1,563","1,579","1,633","1,897","1,684","1,099"
23,  Volkswagen T-Roc,"1,552","1,532","1,623","1,764","1,584","1,062"
24,  Renault Kadjar,"1,299","1,511","1,622","1,742","1,539","1,052"
25,  Skoda Superb,"1,287","1,419","1,578","1,668","1,509","1,014"
26,  Peugeot 5008,"1,279","1,407","1,560","1,622","1,508","1,011"
